epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7147.52,1.33693,1.07682,1.29357,0.76163,0.69044,0.76242,0.44204,1.26834,1.46064,1.16619,0.005842,0.005842,0.005842
44,7311.36,1.334,1.07154,1.29254,0.75423,0.69196,0.75912,0.44128,1.26991,1.42969,1.17001,0.005743,0.005743,0.005743
45,7475.29,1.32988,1.05797,1.28832,0.75207,0.69464,0.76142,0.44201,1.27191,1.45488,1.1744,0.005644,0.005644,0.005644
46,7640.5,1.3293,1.05944,1.28502,0.76737,0.69191,0.76347,0.44397,1.27182,1.45349,1.17017,0.005545,0.005545,0.005545
47,7803.92,1.32017,1.04975,1.28329,0.76019,0.69701,0.76595,0.44519,1.27042,1.44698,1.17013,0.005446,0.005446,0.005446
48,7968.18,1.31843,1.04521,1.28119,0.76666,0.69202,0.76495,0.44677,1.26551,1.44776,1.16829,0.005347,0.005347,0.005347
49,8132.14,1.31167,1.03396,1.27343,0.77035,0.6956,0.76808,0.44723,1.26501,1.46562,1.1684,0.005248,0.005248,0.005248
50,8296.83,1.31635,1.03663,1.27779,0.77121,0.69295,0.7672,0.44735,1.2627,1.44095,1.16704,0.005149,0.005149,0.005149
51,8461.23,1.30786,1.03191,1.27911,0.75835,0.69925,0.76828,0.44731,1.25936,1.4391,1.16409,0.00505,0.00505,0.00505
52,8625.05,1.30725,1.02496,1.27262,0.75902,0.6986,0.76884,0.44846,1.2547,1.41563,1.16269,0.004951,0.004951,0.004951
53,8788.56,1.29826,1.01385,1.26444,0.76224,0.6959,0.76933,0.44963,1.25201,1.38975,1.16031,0.004852,0.004852,0.004852
54,8951.73,1.29791,1.01239,1.26552,0.76894,0.69661,0.76868,0.44997,1.25376,1.40245,1.1604,0.004753,0.004753,0.004753
55,9115.63,1.29914,1.00786,1.26693,0.76194,0.70016,0.76959,0.45094,1.25687,1.41872,1.16105,0.004654,0.004654,0.004654
56,9279.69,1.28919,0.99304,1.25568,0.76374,0.70446,0.77258,0.45184,1.25648,1.41077,1.16111,0.004555,0.004555,0.004555
57,9445.34,1.28706,0.98666,1.25921,0.76526,0.70434,0.77183,0.45251,1.25682,1.3952,1.16075,0.004456,0.004456,0.004456
58,9608.81,1.28732,0.99082,1.25774,0.76933,0.70112,0.77104,0.45242,1.25701,1.37999,1.16032,0.004357,0.004357,0.004357
59,9772.55,1.28403,0.98302,1.25334,0.7668,0.70234,0.77179,0.45319,1.25612,1.37089,1.15995,0.004258,0.004258,0.004258
60,9935.12,1.27453,0.97274,1.24681,0.76953,0.70039,0.77316,0.45341,1.25611,1.37169,1.15934,0.004159,0.004159,0.004159
61,10098.4,1.26996,0.9611,1.24324,0.7693,0.70124,0.77238,0.45433,1.25651,1.35947,1.15973,0.00406,0.00406,0.00406
62,10262,1.2671,0.96574,1.24439,0.77006,0.7053,0.77358,0.45467,1.25702,1.35572,1.15948,0.003961,0.003961,0.003961
63,10425.5,1.2619,0.95765,1.24118,0.77422,0.70107,0.7735,0.45491,1.25588,1.34511,1.15917,0.003862,0.003862,0.003862
64,10589,1.25669,0.9471,1.23789,0.77794,0.70055,0.77398,0.45484,1.25543,1.3274,1.15809,0.003763,0.003763,0.003763
65,10752.1,1.25292,0.94903,1.23152,0.77961,0.69936,0.77413,0.45526,1.25561,1.3213,1.15833,0.003664,0.003664,0.003664
66,10915.3,1.23875,0.93757,1.22831,0.77786,0.70119,0.7743,0.45554,1.25514,1.31665,1.15899,0.003565,0.003565,0.003565
67,11078.7,1.2521,0.93852,1.23166,0.77921,0.70047,0.77418,0.45573,1.25599,1.31075,1.15893,0.003466,0.003466,0.003466
68,11242.2,1.24323,0.92484,1.22878,0.78207,0.6987,0.77429,0.45618,1.2568,1.30731,1.16038,0.003367,0.003367,0.003367
69,11405.4,1.24052,0.92372,1.2235,0.78252,0.70094,0.77527,0.45634,1.25624,1.30066,1.1601,0.003268,0.003268,0.003268
70,11568.5,1.22844,0.90796,1.21967,0.77824,0.70581,0.77496,0.45638,1.25583,1.29136,1.1596,0.003169,0.003169,0.003169
71,11732.6,1.23148,0.90765,1.21941,0.77616,0.70772,0.77559,0.45652,1.25685,1.28626,1.16021,0.00307,0.00307,0.00307
72,11895.9,1.22133,0.89988,1.21167,0.7776,0.70656,0.77586,0.45642,1.25672,1.27933,1.15981,0.002971,0.002971,0.002971
73,12059.6,1.22003,0.89007,1.21025,0.77834,0.70589,0.7755,0.45648,1.25683,1.27546,1.15969,0.002872,0.002872,0.002872
74,12223.3,1.21455,0.88996,1.20914,0.77921,0.70719,0.77621,0.45675,1.2564,1.27579,1.15951,0.002773,0.002773,0.002773
75,12387.2,1.21262,0.88027,1.20571,0.77914,0.70632,0.77612,0.45714,1.25671,1.26882,1.15936,0.002674,0.002674,0.002674
76,12550.4,1.20579,0.86646,1.20215,0.77707,0.70845,0.77712,0.45671,1.25646,1.26161,1.15939,0.002575,0.002575,0.002575
77,12713.6,1.19736,0.86972,1.19609,0.77703,0.70745,0.77638,0.45708,1.25544,1.25322,1.15777,0.002476,0.002476,0.002476
78,12876.4,1.19927,0.85969,1.1968,0.77816,0.70719,0.77607,0.45741,1.25474,1.24925,1.15794,0.002377,0.002377,0.002377
79,13040.1,1.19154,0.85547,1.19532,0.77884,0.70785,0.77614,0.45716,1.25573,1.24405,1.15818,0.002278,0.002278,0.002278
80,13203.5,1.18326,0.85052,1.18699,0.77755,0.70903,0.77642,0.45722,1.25447,1.23868,1.15826,0.002179,0.002179,0.002179
